acs_id,tract_name,tract_code,acs_tract,boro_code,boro,acs_county,boro_tract_code,CDEligibil,NTACode,PUMA,Shape_Leng,Shape_Area,acs_tract_code,acs_total_pop_est,acs_pct_poc,acs_pct_one_race_est,acs_pct_white_est,acs_pct_black_est,acs_pct_native&alaskan_est,acs_pct_asain_est,acs_pct_hawaiian&pi_est,acs_pct_others_est,acs_pct_two_or_more_races_est,acs_pct_hisp_lat_est,acs_pct_non-hisp_lat_white_est,acs_pct_below_100_pct_below_poverty_level_est,acs_pct_100-149_pct_above_poverty_level_est,acs_pct_150+_pct_above_poverty_level_est,acs_pct_native_born_est,acs_pct_foreign_born_est,tract_arrest_counts
1400000US36081004700,Astoria,004700,47,4,Queens,Queens County,4004700,E,QN70,4101,5564.480933,1928980.7,4700,3665,73.9,95,40.7,28.4,0.2,14.4,0,11.4,5,31,26.1,19,13.2,67.8,68.1,3.27,1
1400000US36047090800,Brownsville,090800,908,3,Brooklyn,Kings County,3090800,I,BK81,4007,7555.778086,3194827.468,90800,5992,98.2,96.2,17.3,67,0.4,2.5,0,9,3.8,31.5,1.8,68.6,12,19.4,79.47,4.92,0
1400000US36085011402,New Dorp-Midland Beach,011402,114.02,5,Staten Island,Richmond County,5011402,I,SI45,3902,10355.21437,6228604.004,11402,3398,27.1,99.5,89,1.7,0,8.8,0,0,0.5,16.6,72.9,8.4,2.9,88.8,73.57,1.35,1
1400000US36047111800,East New York,111800,1118,3,Brooklyn,Kings County,3111800,E,BK82,4008,5292.340363,1745783.857,111800,3639,96.3,99.9,16.2,69,0,0,0,14.7,0.1,27.4,3.7,33,14,53.1,62.93,4.26,0
1400000US36081091900,College Point,091900,919,4,Queens,Queens County,4091900,E,QN23,4103,17770.30691,4909027.513,91900,5309,82.9,94.9,24.1,5.4,0,36.3,0.9,28.3,5.1,38,17.1,12.7,18.9,68.4,41.12,1.21,0
1400000US36081092500,College Point,092500,925,4,Queens,Queens County,4092500,E,QN23,4103,7714.748303,3362669.256,92500,3470,81.8,96.6,28.5,3.6,0,35.3,0,29.2,3.4,42.3,18.2,18.2,4.7,77.2,45.88,2.1,0
1400000US36047076600,Flatbush,076600,766,3,Brooklyn,Kings County,3076600,E,BK42,4015,4504.392232,887314.0585,76600,2103,87.8,97.2,18.4,70.8,0,4.3,0,3.8,2.8,10.8,12.2,11.1,14,74.9,54.92,1.52,0
1400000US36081012000,Upper East Side-Carnegie Hill,012000,120,1,Manhattan,Queens County,1012000,I,MN40,3805,5693.865387,1862415.442,12000,2365,95.2,97,18.6,5.7,0,47.4,0,25.2,3,32.5,4.8,19.1,7.9,73,37.04,2.79,0
1400000US36081012800,Upper East Side-Carnegie Hill,012800,128,1,Manhattan,Queens County,1012800,I,MN40,3805,5818.32051,1924402.657,12800,2380,74.9,94.2,58.9,8,0,14.8,0,12.5,5.8,55,25.1,10,13.4,76.6,52.52,1.3,0
1400000US36081040300,Bushwick South,040300,403,3,Brooklyn,Queens County,3040300,E,BK78,4002,6937.017865,2208071.895,40300,7324,99.4,98.8,36.1,1.1,0.3,15.3,0,45.9,1.2,84,0.6,17.1,12.7,70.2,34.38,1.9,0
1400000US36047052700,North Side-South Side,052700,527,3,Brooklyn,Kings County,3052700,E,BK73,4001,6448.607567,2045672.642,52700,6490,74.7,95.5,46.8,6.2,0.7,5,0,36.7,4.5,66.3,25.3,21.1,9.6,69.4,62.13,10.03,5
